,0
0,0.78125
1,0.78125
2,0.78125
3,0.78125
4,0.78125
5,0.78125
6,1.09375
7,1.09375
8,1.09375
9,1.09375
10,0.9375
11,0.9375
12,0.9375
13,0.46875
14,0.625
15,0.78125
16,0.46875
17,0.78125
18,0.46875
19,0.78125
20,0.78125
21,0.78125
22,0.78125
23,0.78125
24,0.78125
25,0.78125
26,0.625
27,0.625
28,0.625
29,0.625
30,0.625
31,0.625
32,0.46875
33,0.46875
34,0.46875
35,0.46875
36,0.78125
37,0.625
38,0.625
39,0.625
40,0.3125
41,0.3125
42,0.3125
43,0.3125
44,0.3125
45,0.3125
46,0.3125
47,0.3125
48,0.3125
49,0.3125
50,0.3125
51,0.15625
52,0.15625
53,0.15625
54,0.15625
55,0.15625
56,0.15625
57,0.15625
58,0.3125
59,0.3125
60,0.3125
61,0.3125
62,0.3125
63,0.15625
64,0.15625
65,0.15625
66,0.15625
67,0.15625
68,0.15625
69,0.15625
70,0.15625
71,0.15625
72,0.15625
73,0.15625
74,0.15625
75,0.15625
76,0.15625
77,0.15625
78,0.15625
79,0.15625
80,0.15625
81,0.15625
82,0.15625
83,0.15625
84,0.15625
85,0.15625
86,0.15625
87,0.15625
88,0.15625
89,0.15625
90,0.15625
91,0.3125
92,0.3125
93,0.3125
94,0.3125
95,0.625
96,0.46875
97,0.625
98,0.625
99,0.625
100,0.625
101,0.625
102,0.625
103,0.625
104,0.625
105,0.625
106,0.625
107,0.625
108,0.625
109,0.625
110,0.625
111,0.625
112,0.3125
113,0.3125
114,0.3125
115,0.3125
116,0.3125
117,0.3125
118,0.3125
119,0.3125
120,0.3125
121,0.3125
122,0.3125
123,0.3125
124,0.3125
125,0.3125
126,0.3125
127,0.3125
128,0.15625
129,0.15625
130,0.15625
131,0.15625
132,0.15625
133,0.15625
134,0.15625
135,0.15625
136,0.15625
137,0.15625
138,0.15625
139,0.15625
140,0.9375
141,0.9375
142,0.9375
143,0.9375
144,0.78125
145,0.78125
146,0.625
147,0.78125
148,0.78125
149,0.78125
150,0.9375
151,0.9375
152,0.9375
153,0.9375
154,0.78125
155,0.78125
156,0.78125
157,0.78125
158,0.78125
159,0.78125
160,0.46875
161,0.46875
162,0.46875
163,0.46875
164,0.46875
165,0.46875
166,0.46875
167,0.46875
168,0.46875
169,0.46875
170,0.46875
171,0.46875
172,0.3125
173,0.3125
174,0.3125
175,0.3125
176,0.3125
177,0.3125
178,0.3125
179,0.3125
180,0.3125
181,0.15625
182,0.15625
183,0.15625
184,0.46875
185,0.46875
186,0.625
187,0.625
188,0.625
189,0.625
190,0.625
191,0.3125
192,0.15625
193,0.15625
194,0.15625
195,0.15625
196,0.15625
197,0.15625
198,0.15625
199,0.15625
200,0.15625
201,0.15625
202,0.15625
203,0.15625
204,0.3125
205,0.3125
206,0.3125
207,0.3125
208,0.15625
209,0.15625
210,0.15625
211,0.15625
212,0.15625
213,0.3125
214,0.3125
215,0.3125
216,0.3125
217,0.15625
218,0.15625
219,0.3125
220,0.3125
221,0.3125
222,0.3125
223,0.3125
224,0.3125
225,0.3125
226,0.15625
227,0.15625
228,0.15625
229,0.15625
230,0.15625
231,0.15625
232,0.3125
233,0.3125
234,0.3125
235,0.3125
236,0.3125
237,0.3125
238,0.625
239,0.625
240,0.625
241,0.625
242,0.625
243,0.625
244,0.625
245,0.625
246,0.625
247,0.625
248,0.625
249,0.625
250,0.46875
251,0.46875
252,0.46875
253,0.46875
254,0.46875
255,0.46875
256,0.3125
257,0.3125
258,0.46875
259,0.46875
260,0.46875
261,0.46875
262,0.46875
263,0.46875
264,0.46875
265,0.46875
266,0.46875
267,0.46875
268,0.46875
269,0.3125
270,0.3125
271,0.3125
272,0.3125
273,0.3125
274,0.3125
275,0.3125
276,0.3125
277,0.3125
278,0.3125
279,0.3125
280,0.9375
281,0.9375
282,0.9375
283,0.9375
284,0.9375
285,0.9375
286,0.9375
287,0.9375
288,0.9375
289,1.09375
290,1.09375
291,1.09375
292,1.09375
293,1.09375
294,0.78125
295,0.78125
296,0.78125
297,0.78125
298,0.78125
299,0.625
300,0.625
301,0.625
302,0.625
303,0.625
304,0.625
305,0.625
306,0.625
307,0.625
308,0.625
309,0.625
310,0.46875
311,0.46875
312,0.46875
313,0.46875
314,0.46875
315,0.46875
316,0.46875
317,0.46875
318,0.46875
319,0.46875
320,0.46875
321,0.46875
322,0.46875
323,0.46875
324,0.46875
325,0.15625
326,0.15625
327,0.625
328,0.625
329,0.625
330,0.625
331,0.625
332,0.625
333,0.625
334,0.625
335,0.625
336,0.15625
337,0.625
338,0.15625
339,0.15625
340,0.15625
341,0.15625
342,0.15625
343,0.15625
344,0.15625
345,0.15625
346,0.15625
347,0.15625
348,0.15625
349,0.15625
350,0.15625
351,0.15625
352,0.15625
353,0.15625
354,0.15625
355,0.15625
356,0.15625
357,0.15625
358,0.15625
359,0.15625
360,0.15625
361,0.15625
362,0.15625
363,0.15625
364,0.15625
365,0.15625
366,0.15625
367,0.3125
368,0.3125
369,0.3125
370,0.3125
371,0.3125
372,0.3125
373,0.625
374,0.625
375,0.625
376,0.625
377,0.625
378,0.625
379,0.625
380,0.46875
381,0.46875
382,0.46875
383,0.46875
384,0.46875
385,0.46875
386,0.625
387,0.46875
388,0.46875
389,0.46875
390,0.46875
391,0.46875
392,0.46875
393,0.46875
394,0.46875
395,0.46875
396,0.46875
397,0.46875
398,0.46875
399,0.46875
400,0.46875
401,0.46875
402,0.46875
403,0.46875
404,0.46875
405,0.625
406,0.46875
407,0.46875
408,0.46875
409,0.46875
410,0.46875
411,0.78125
412,0.78125
413,0.78125
414,0.78125
415,0.625
416,0.625
417,0.625
418,0.625
419,0.625
420,0.625
421,0.625
422,0.46875
423,0.46875
424,0.46875
425,0.46875
426,0.46875
427,0.46875
428,0.46875
429,0.46875
430,0.46875
431,0.46875
432,0.3125
433,0.3125
434,0.3125
435,0.3125
436,0.78125
437,0.78125
438,0.9375
439,0.625
440,0.625
441,0.625
442,0.625
443,0.625
444,0.625
445,0.625
446,0.9375
447,0.9375
448,0.9375
449,0.9375
450,0.625
451,0.625
452,0.625
453,0.625
454,0.46875
455,0.46875
456,0.46875
457,0.3125
458,0.3125
459,0.46875
460,0.46875
461,0.46875
462,0.46875
463,0.46875
464,0.46875
465,0.46875
466,0.46875
467,0.46875
468,0.46875
469,0.3125
470,0.3125
471,0.3125
472,0.3125
473,0.625
474,0.625
475,0.625
476,0.625
477,0.625
478,0.625
479,0.625
480,0.625
481,0.46875
482,0.15625
483,0.625
484,0.625
485,0.625
486,0.625
487,0.625
488,0.15625
489,0.15625
490,0.15625
491,0.15625
492,0.15625
493,0.15625
494,0.15625
495,0.15625
496,0.15625
497,0.15625
498,0.15625
499,0.15625
500,0.15625
501,0.15625
502,0.15625
503,0.15625
504,0.15625
505,0.15625
506,0.15625
507,0.15625
508,0.15625
509,0.15625
510,0.15625
511,0.15625
512,0.15625
513,0.15625
514,0.15625
515,0.15625
516,0.15625
517,0.15625
518,0.15625
519,0.15625
520,0.15625
521,0.15625
522,0.46875
523,0.46875
524,0.46875
525,0.46875
526,0.46875
527,0.46875
528,0.46875
529,0.46875
530,0.46875
531,0.3125
532,0.3125
533,0.3125
534,0.3125
535,0.3125
536,0.15625
537,0.3125
538,0.3125
539,0.3125
540,0.3125
541,0.15625
542,0.3125
543,0.15625
544,0.46875
545,0.46875
546,0.3125
547,0.3125
548,0.3125
549,0.3125
550,0.46875
551,0.46875
552,0.46875
553,0.46875
554,0.46875
555,0.46875
556,0.46875
557,0.46875
558,0.46875
559,0.46875
560,0.46875
561,0.46875
562,0.46875
563,0.78125
564,0.78125
565,0.78125
566,0.46875
567,0.46875
568,0.46875
569,0.46875
570,0.625
571,0.625
572,0.625
573,0.625
574,0.625
575,0.46875
576,0.46875
577,0.46875
578,0.46875
579,0.46875
580,0.46875
581,0.78125
582,0.78125
583,0.78125
584,0.78125
585,0.78125
586,0.625
587,0.625
588,0.625
589,0.625
590,0.625
591,0.46875
592,0.46875
593,0.46875
594,0.46875
595,0.46875
596,0.46875
597,0.3125
598,0.3125
599,0.3125
600,0.78125
601,0.78125
602,1.09375
603,1.09375
604,1.09375
605,1.09375
606,0.78125
607,0.78125
608,0.78125
609,0.78125
610,0.625
611,0.625
612,0.625
613,0.625
614,0.625
615,0.625
616,0.625
617,0.625
618,0.625
619,0.625
620,0.625
621,0.78125
622,0.78125
623,0.78125
624,0.78125
625,0.78125
626,0.78125
627,0.78125
628,0.78125
629,1.09375
630,0.9375
631,0.9375
632,0.9375
633,0.9375
634,0.9375
635,0.625
636,0.625
637,0.46875
638,0.625
639,0.3125
640,0.3125
641,0.3125
642,0.3125
643,0.3125
644,0.3125
645,0.3125
646,0.3125
647,0.3125
648,0.3125
649,0.46875
650,0.46875
651,0.15625
652,0.15625
653,0.3125
654,0.3125
655,0.3125
656,0.3125
657,0.3125
658,0.46875
659,0.46875
660,0.3125
661,0.46875
662,0.46875
663,0.3125
664,0.3125
665,0.46875
666,0.46875
667,0.46875
668,0.46875
669,0.3125
670,0.3125
671,0.3125
672,0.15625
673,0.15625
674,0.15625
675,0.15625
676,0.3125
677,0.15625
678,0.3125
679,0.15625
680,0.15625
681,0.15625
682,0.15625
683,0.15625
684,0.15625
685,0.15625
686,0.15625
687,0.15625
688,0.15625
689,0.15625
690,0.15625
691,0.3125
692,0.3125
693,0.15625
694,0.15625
695,0.15625
696,0.15625
697,0.15625
698,0.15625
699,0.15625
700,0.15625
701,0.15625
702,0.46875
703,0.3125
704,0.3125
705,0.46875
706,0.3125
707,0.3125
708,0.3125
709,0.46875
710,0.46875
711,0.46875
712,0.46875
713,0.46875
714,0.46875
715,0.46875
716,0.3125
717,0.3125
718,0.3125
719,0.3125
720,0.3125
721,0.3125
722,0.3125
723,0.3125
724,0.3125
725,0.15625
726,0.3125
727,0.3125
728,0.3125
729,0.3125
730,0.3125
731,0.3125
732,0.3125
733,0.3125
734,0.3125
735,0.3125
736,0.3125
737,0.3125
738,0.46875
739,0.46875
740,0.625
741,0.625
742,0.625
743,0.625
744,0.625
745,0.46875
746,0.46875
747,0.46875
748,0.46875
749,0.46875
750,0.46875
751,0.46875
752,0.46875
753,0.46875
754,0.46875
755,0.3125
756,0.3125
757,0.3125
758,0.3125
759,0.3125
760,0.3125
761,0.3125
762,0.3125
763,0.15625
764,0.15625
765,0.15625
766,0.15625
767,0.15625
768,0.15625
769,0.15625
770,0.15625
771,0.15625
772,0.15625
773,0.15625
774,0.15625
775,0.15625
776,0.15625
777,0.15625
778,0.78125
779,0.78125
780,0.9375
781,0.9375
782,0.9375
783,0.9375
784,0.9375
785,0.9375
786,0.9375
787,0.9375
788,0.9375
789,0.9375
790,0.9375
791,0.9375
792,0.625
793,0.625
794,0.625
795,0.625
796,0.625
797,0.625
798,0.625
799,0.625
800,0.78125
801,0.78125
802,0.78125
803,0.78125
804,0.78125
805,0.9375
806,0.78125
807,0.78125
808,0.9375
809,0.9375
810,0.625
811,0.625
812,0.625
813,0.625
814,1.25
815,0.46875
816,0.46875
817,0.46875
818,0.46875
819,0.46875
820,0.46875
821,0.46875
822,0.46875
823,0.46875
824,0.46875
825,0.46875
826,0.15625
827,0.15625
828,0.15625
829,0.15625
830,0.15625
831,0.15625
832,0.15625
833,0.46875
834,0.15625
835,0.3125
836,0.3125
837,0.3125
838,0.3125
839,0.3125
840,0.3125
841,0.3125
842,0.3125
843,0.46875
844,0.46875
845,0.46875
846,0.46875
847,0.46875
848,0.3125
849,0.3125
850,0.3125
851,0.3125
852,0.3125
853,0.15625
854,0.15625
855,0.15625
856,0.15625
857,0.15625
858,0.15625
859,0.15625
860,0.15625
861,0.15625
862,0.15625
863,0.15625
864,0.15625
865,0.15625
866,0.15625
867,0.15625
868,0.15625
869,0.15625
870,0.15625
871,0.15625
872,0.15625
873,0.3125
874,0.3125
875,0.3125
876,0.15625
877,0.15625
878,0.3125
879,0.15625
880,0.3125
881,0.3125
882,0.3125
883,0.3125
884,0.3125
885,0.3125
886,0.3125
887,0.46875
888,0.46875
889,0.46875
890,0.46875
891,0.46875
892,0.46875
893,0.46875
894,0.46875
895,0.15625
896,0.15625
897,0.15625
898,0.15625
899,0.15625
900,0.15625
901,0.15625
902,0.15625
903,0.15625
904,0.15625
905,0.15625
906,0.15625
907,0.15625
908,0.15625
909,0.15625
910,0.15625
911,0.15625
912,0.15625
913,0.15625
914,0.3125
915,0.3125
916,0.3125
917,0.3125
918,0.3125
919,0.3125
920,0.3125
921,0.3125
922,0.3125
923,0.3125
924,0.3125
925,0.3125
926,0.3125
927,0.625
928,0.625
929,0.625
930,0.3125
931,0.3125
932,0.3125
933,0.3125
934,0.3125
935,0.3125
936,0.3125
937,0.78125
938,0.78125
939,0.78125
940,0.78125
941,0.625
942,0.625
943,0.625
944,0.625
945,0.625
946,0.78125
947,0.78125
948,0.78125
949,0.78125
950,0.78125
951,0.9375
952,0.9375
953,0.9375
954,0.9375
955,0.46875
956,0.46875
957,0.46875
958,0.46875
959,0.46875
960,0.78125
961,0.78125
962,0.46875
963,0.46875
964,0.46875
965,0.46875
966,0.625
967,0.46875
968,0.625
969,0.625
970,0.625
971,0.625
972,0.3125
973,0.625
974,0.3125
975,0.625
976,0.3125
977,0.3125
978,0.625
979,0.9375
980,0.9375
981,0.9375
982,0.9375
983,0.9375
984,0.9375
985,0.9375
986,0.3125
987,0.3125
988,0.3125
989,0.3125
990,0.15625
991,0.15625
992,0.15625
993,0.15625
994,0.15625
995,0.15625
996,0.15625
997,0.15625
998,0.15625
999,0.15625
1000,0.15625
1001,0.15625
1002,0.15625
1003,0.3125
1004,0.3125
1005,0.3125
1006,0.3125
1007,0.3125
1008,0.15625
1009,0.3125
1010,0.3125
1011,0.3125
1012,0.3125
1013,0.15625
1014,0.15625
1015,0.15625
1016,0.15625
1017,0.15625
1018,0.15625
1019,0.15625
1020,0.15625
1021,0.15625
1022,0.15625
1023,0.15625
1024,0.15625
1025,0.15625
1026,0.15625
1027,0.46875
1028,0.46875
1029,0.46875
1030,0.46875
1031,0.46875
1032,0.46875
1033,0.46875
1034,0.46875
1035,0.15625
1036,0.15625
1037,0.15625
1038,0.15625
1039,0.15625
1040,0.15625
1041,0.15625
1042,0.3125
1043,0.3125
1044,0.46875
1045,0.46875
1046,0.46875
1047,0.46875
1048,0.625
1049,0.625
1050,0.625
1051,0.625
1052,0.625
1053,0.3125
1054,0.3125
1055,0.3125
1056,0.3125
1057,0.3125
1058,0.15625
1059,0.15625
1060,0.15625
1061,0.15625
1062,0.15625
1063,0.15625
1064,0.15625
1065,0.15625
1066,0.15625
1067,0.15625
1068,0.15625
1069,0.15625
1070,0.15625
1071,0.15625
1072,0.15625
1073,0.15625
1074,0.15625
1075,0.15625
1076,0.15625
1077,0.15625
1078,0.15625
1079,0.15625
1080,0.15625
1081,0.15625
1082,0.15625
1083,0.9375
1084,0.9375
1085,0.46875
1086,0.46875
1087,0.46875
1088,1.09375
1089,1.09375
1090,1.09375
1091,0.78125
1092,0.78125
1093,0.46875
1094,0.46875
1095,0.625
1096,0.46875
1097,0.46875
1098,0.78125
1099,0.78125
1100,0.78125
1101,0.78125
1102,0.9375
1103,0.9375
1104,0.9375
1105,0.9375
1106,0.46875
1107,0.46875
1108,0.46875
1109,0.46875
1110,0.78125
1111,0.78125
1112,0.78125
1113,0.46875
1114,0.46875
1115,0.46875
1116,0.46875
1117,0.46875
1118,0.46875
1119,0.46875
1120,0.46875
1121,0.46875
1122,0.46875
1123,0.46875
1124,0.46875
1125,0.46875
1126,0.3125
1127,0.3125
1128,0.3125
1129,0.3125
1130,0.3125
1131,0.3125
1132,0.46875
1133,0.46875
1134,0.46875
1135,0.46875
1136,0.46875
1137,0.46875
1138,0.78125
1139,0.78125
1140,0.15625
1141,0.15625
1142,0.15625
1143,0.15625
1144,0.3125
1145,0.15625
1146,0.15625
1147,0.15625
1148,0.15625
1149,0.15625
1150,0.15625
1151,0.15625
1152,0.15625
1153,0.15625
1154,0.15625
1155,0.15625
1156,0.15625
1157,0.15625
1158,0.15625
1159,0.15625
1160,0.3125
1161,0.15625
1162,0.15625
1163,0.3125
1164,0.15625
1165,0.15625
1166,0.15625
1167,0.15625
1168,0.3125
1169,0.3125
1170,0.3125
1171,0.3125
1172,0.46875
1173,0.46875
1174,0.46875
1175,0.46875
1176,0.46875
1177,0.46875
1178,0.46875
1179,0.46875
1180,0.46875
1181,0.15625
1182,0.15625
1183,0.15625
1184,0.15625
1185,0.3125
1186,0.3125
1187,0.15625
1188,0.3125
1189,0.15625
1190,0.3125
1191,0.3125
1192,0.3125
1193,0.3125
1194,0.3125
1195,0.3125
1196,0.3125
1197,0.3125
1198,0.3125
1199,0.3125
1200,0.3125
1201,0.3125
1202,0.3125
1203,0.3125
1204,0.625
1205,0.3125
1206,0.3125
1207,0.3125
1208,0.3125
1209,0.3125
1210,0.15625
1211,0.15625
1212,0.15625
1213,0.15625
1214,0.15625
1215,0.625
1216,0.625
1217,0.15625
1218,0.3125
1219,0.15625
1220,0.15625
1221,0.3125
1222,0.3125
1223,0.625
1224,0.625
1225,0.625
1226,0.625
1227,0.625
1228,0.9375
1229,0.9375
1230,0.78125
1231,0.78125
1232,0.78125
1233,0.78125
1234,0.78125
1235,0.78125
1236,0.625
1237,0.625
1238,0.625
1239,0.46875
1240,0.46875
1241,0.46875
1242,0.46875
1243,0.9375
1244,0.9375
1245,0.9375
1246,0.9375
1247,0.625
1248,0.625
1249,0.625
1250,0.625
1251,0.625
1252,0.625
1253,0.625
1254,0.625
1255,0.625
1256,0.625
1257,0.3125
1258,0.3125
1259,0.46875
1260,0.46875
1261,0.46875
1262,0.46875
1263,0.46875
1264,0.46875
1265,0.46875
1266,0.46875
1267,0.46875
1268,0.46875
1269,0.625
1270,0.625
1271,0.625
1272,0.625
1273,0.625
1274,0.625
1275,0.625
1276,0.78125
1277,0.78125
1278,0.78125
1279,0.78125
1280,0.78125
1281,0.78125
1282,0.46875
1283,0.9375
1284,0.9375
1285,0.15625
1286,0.15625
1287,0.15625
1288,0.3125
1289,0.3125
1290,0.3125
1291,0.3125
1292,0.3125
1293,0.3125
1294,0.3125
1295,0.3125
1296,0.3125
1297,0.3125
1298,0.3125
1299,0.15625
1300,0.15625
1301,0.15625
1302,0.15625
1303,0.15625
1304,0.15625
1305,0.15625
1306,0.3125
1307,0.3125
1308,0.3125
1309,0.3125
1310,0.46875
1311,0.46875
1312,0.46875
1313,0.46875
1314,0.46875
1315,0.46875
1316,0.46875
1317,0.15625
1318,0.15625
1319,0.15625
1320,0.15625
1321,0.15625
1322,0.15625
1323,0.15625
1324,0.15625
1325,0.15625
1326,0.15625
1327,0.15625
1328,0.15625
1329,0.15625
1330,0.15625
1331,0.15625
1332,0.15625
1333,0.15625
1334,0.15625
1335,0.15625
1336,0.15625
1337,0.15625
1338,0.15625
1339,0.15625
1340,0.15625
1341,0.15625
1342,0.15625
1343,0.15625
1344,0.15625
1345,0.15625
1346,0.15625
1347,0.15625
1348,0.15625
1349,0.15625
1350,0.3125
1351,0.3125
1352,0.46875
1353,0.46875
1354,0.46875
1355,0.46875
1356,0.46875
1357,0.3125
1358,0.3125
1359,0.3125
1360,0.3125
1361,0.3125
1362,0.3125
1363,0.3125
1364,0.15625
1365,0.15625
1366,0.15625
1367,0.15625
1368,0.3125
1369,0.3125
